camaraPk	senadoId	nome	codinomes	uf	UFNasc	partidoAtual	outrosPartidos	profissoes	cargos	legislaturas	excelenciasorg	veja	politicosorg	wiki	curriculo	foto	urlCamara	outros
97821		José Saraiva Felipe	Saraiva Felipe		MG		MDB,PMDB	Médico e Professor Universitário		52,53,54,55		http://veja.abril.com.br/infograficos/rede-escandalos/perfil/saraiva-felipe.shtml?scrollto=conteudo-rede			Absteve-se na cassação de Eduardo Cunha	http://www.camara.gov.br/internet/deputado/bandep/74762.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97821&tipo=0	
98021		Mauro Ribeiro Lopes	Mauro Lopes		MG		PMDB,PFL	Empresário e Bacharel em Direito		52,53,54,55					Absteve-se na cassação de Eduardo Cunha	http://www.camara.gov.br/internet/deputado/bandep/74749.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=98021&tipo=0	
		José Mentor Guilherme De Melo Neto		SP			PT		Deputado Federal	55					Corrupção Passiva			
160996		Jacob Alfredo Stoffels Kaefer	Alfredo Kaefer		RS		PSL	Industrial		53,54,55					Absteve-se na cassação de Eduardo Cunha	http://www.camara.gov.br/internet/deputado/bandep/141454.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=160996&tipo=0	
178870		Rôney Tanios Nemer	Rôney Nemer		MG		PMDB,PP	Servidor Público Estadual		55		http://veja.abril.com.br/infograficos/rede-escandalos/perfil/roney-nemer.shtml?scrollto=conteudo-rede			Absteve-se na cassação de Eduardo Cunha		http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178870	
189076		José Alberto Oliveira Veloso Filho	Alberto Filho		MA		PDT,PMDB	Bacharel em Direito		54,55					Absteve-se na cassação de Eduardo Cunha	http://www.camara.gov.br/internet/deputado/bandep/160582.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189076&tipo=0	
			André Moura	SE			PSC			55					Lider do governo na câmara
Absteve-se na cassação de Eduardo Cunha			
		Laerte Rodrigues De Bessa	Laerte Bessa	DF			PR		Câmara	55					Aliado de Cunha
http://www.atlaspolitico.com.br/perfil/2/141478
Absteve-se na cassação de Eduardo Cunha			http://www.camara.leg.br/internet/deputado/dep_Detalhe.asp?id=5830785
http://mapa.vemprarua.net/df/deputado-laerte-bessa.html
98083		Nelson Meurer	Nelson Meurer		SC		PSD,PPB,PP	Agropecuarista		52,53,54,55			http://www.politicos.org.br/nelson-meurer	pt.wikipedia.org/wiki/Nelson_Meurer	Lava a Jato
Absteve-se na cassação de Eduardo Cunha	http://www.camara.gov.br/internet/deputado/bandep/73781.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=98083&tipo=0	
93083		Carlos Felipe Vazquez de Souza Leão	Cacá Leão		BA		PP,PHS,PEN	Administrador		55					Intenscionalmente faltou na votação da cassação de Eduardo Cunha		http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=93083	
		Roberto Sergio Ribeiro Coutinho Teixeira		PE			PP		Deputado Federal	55			http://www.politicos.org.br/roberto-sergio-ribeiro-coutinho-teixeira		Investigado por corrupção passiva, lavagem de dinheiro, formação de quadrilha. Incluído na lista de políticos do PP que recebia propina.			http://infograficos-estaticos.s3.amazonaws.com/lista-final-lava-jato/assets/images/fotos/pb/roberto-teixeira.png
93472		Cristiane Brasil Francisco	Cristiane Brasil		RJ		PTB,PMDB,PSC,PP,PHS,PEN	Advogada		55					Intenscionalmente faltou na votação da cassação de Eduardo Cunha		http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=93472	
