camarapk,nome,UFNasc,UFAtuacao,codinomes,partidos,profissoes,cargos,legislaturas,foto,veja,politicosorg,wiki,curriculo,votocunha,urls,outros
122466,Ronaldo Manchado Martins,SP,,Ronaldo Martins,"PRB,PTN,PMN,PTC,PTdoB,PSL","Músico,radialista",,55,http://www.camara.gov.br/internet/deputado/bandep/131247.jpg,,,,,,http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=122466,
123099,Carlos Wilson Rocha de Queiroz Campos,PE,,Carlos Wilson,"ARENA,PMDB,PSDB,PTB,PT","Advogado, Administrador Público, Comerciante e Funcionário Público Federal",,53,http://www.camara.gov.br/internet/deputado/bandep/131873.jpg,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=123099&tipo=0,
123131,Epitácio Cafeteira Afonso Pereira,PB,,Epitácio Cafeteira,"UDN,MDB,PMDB,PPB,PMDB,PDC,PPR,PDT",Bancário e Técnico em Contabilidade,,,http://www.camara.gov.br/internet/deputado/bandep/131905.jpg,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=123131&tipo=0,
139355,Ademir Camilo Prates Rodrigues,MG,,Ademir Camilo,"PL,PSD,PROS,PTN","Advogado, Administrador Hospitalar, Médico Ginecologista e Obstetra, Médico do Trabalho e Médico Legista",,"52,53,54,55",http://www.camara.gov.br/internet/deputado/bandep/133374.jpg,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=139355&tipo=0,
139357,Jair de Oliveira,MG,,Jair De Oliveira,"PDT,PDC,PTB,PMDB",Pastor Evangélico,,52,http://www.camara.gov.br/internet/deputado/bandep/133376.jpg,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=139357&tipo=0,
139083,André Luiz Costa de Souza,RJ,,André Costa,"PT,sp,PDT",Diplomata,,52,http://www.camara.gov.br/internet/deputado/bandep/133377.jpg,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=139083&tipo=0,
139470,Ana Borges Neves de Alencar,GO,,Ana Alencar,"PL,PSDB,PL,PSDB",Odontóloga e Psicanalista,,52,http://www.camara.gov.br/internet/deputado/bandep/133440.jpg,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=139470&tipo=0,
101392,Francisco Diógenes de Araújo,CE,,Francisco Diógenes,"PDS,PPR,PMDB,PFL",Economista e Empresário,,,http://www.camara.gov.br/internet/deputado/bandep/133783.jpg,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=101392&tipo=0,
105542,Aníbal Teixeira de Souza,MG,,Aníbal Teixeira,"PRP,MDB,PMDB,PTB,PP","Advogado, Administrador de Empresas, Professor, Empresário e Orientador Pedagógico",,,http://www.camara.gov.br/internet/deputado/bandep/133894.jpg,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=105542&tipo=0,
104709,Paulo César Hartung Gomes,ES,ES,Paulo Hartung,"PSB,MDB,PMDB,PSDB",Economista,,,http://www.camara.gov.br/internet/deputado/bandep/133934.jpg,,,pt.wikipedia.org/wiki/Paulo_Hartung,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=104709&tipo=0,
