"id","nome","UF","codinomes","partidos","profissoes","legislaturas","urls"
"161734","Jilmar Augustinho Tatto","PR","Jilmar Tatto","PT","Professor e Empresário","53, 54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=161734&tipo=0"
"161730","Edson Aparecido Dos Santos","SP","Edson Aparecido","PMDB,PSDB","Historiador","53, 54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=161730&tipo=0"
"178173","Saturnino Masson","Tanabi, SP","SATURNINO MASSON - PSDB/MT","PFL, 1984-1998; PSDB, 1998-.","Comerciante","53, ","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=178173&tipo=0"
"185705","José Carlos Stangarlini",",","JOSÉ C. STANGARLINI - PSDB/SP","PSDB, 1993-.","Advogado","53, ","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=185705&tipo=0"
"160883","Vital do Rêgo Filho","Campina Grande, PB","VITAL DO RÊGO FILHO - PMDB/PB","PSB, 1988-; PDT, 1990-2005; PMDB, 2005-.","Advogado e Médico","53, ","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=160883&tipo=0"
"160402","Carlos Eduardo Vieira da Cunha","RS","Vieira Da Cunha","PDT","Procurador de Justiça","53, 54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=160402&tipo=0"
"109159","Elaine Carvalho Costa","Niterói, RJ","ELAINE COSTA - PTB/RJ","PDT, -2003; PSDB; PMDB; PTB, 2003-.","Professora e Funcionária Pública","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=109159&tipo=0"
"99139","Paulo Celso Fonseca Marinho","Caxias, MA","PAULO MARINHO - PL/MA","PMDB, 1980-1989; PSC, 1990-1999; PFL, 1999-2003; PL, 2003-.","Advogado e Servidor Público","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99139&tipo=0"
"109155","José de Araújo Mendonça Sobrinho","SE","Mendonça Prado","DEM,PFL","Advogado","52, 53, 54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=109155&tipo=0"
"99133","Mário Assad Júnior","Manhuaçu, MG","MÁRIO ASSAD JÚNIOR - PSB/MG","PFL, 1993-2001; PL, 2001-2005; PSB, 2005-.","Advogado","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99133&tipo=0"
"98285","Pedro Wilson Guimarães","Marzagão, GO","PEDRO WILSON - PT/GO","PT, 1980-.","Advogado, Professor Universitário e Sociólogo","53, ","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=98285&tipo=0"
"169698","Edigar Evangelista Dos Anjos","Macarani, BA","EDIGAR MÃO BRANCA - PV/BA","PV, 2003-.","Agricultor, Radialista e Músico","53, ","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=169698&tipo=0"
"99776","José Francisco Das Neves","Goiânia, GO","JUQUINHA - PL/GO","PMDB, 1995-1999; PSDB, 1999-2001; PL, 2001-.","Professor e Engenheiro Eletricista","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99776&tipo=0"
"195504","Masami Miki","RR","Massami Miki","PSL","","54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=195504&tipo=0"
"101665","José Leônidas de Menezes Cristino","Coreaú, CE","LEÔNIDAS CRISTINO - PDT/CE","PSDB, 1991-1997; PPS, 1997-2005; PSB, 2005-2013; PROS, 2013-2016; PDT, 2016-.","Engenheiro Civil","52, 55,","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=101665&tipo=0"
"160408","Eduardo Alves do Amorim","Itabaiana, SE","EDUARDO AMORIM - PSC/SE","PFL, 1994-2004; PSC, 2005-.","Médico Anestesiologista","53, ","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=160408&tipo=0"
